"","Down","Distance","FP","EP"
"1",1,10,90,4.76771882330364
"2",1,9,91,4.93053518613191
"3",1,8,92,5.09335154896018
"4",1,7,93,5.25616791178845
"5",1,6,94,5.41898427461672
"6",1,5,95,5.58180063744499
"7",1,4,96,5.74461700027325
"8",1,3,97,5.90743336310152
"9",1,2,98,6.07024972592979
"10",1,1,99,6.23306608875806
