"","Down","FP","10","11","12","13","14","15","16","17","18","19","20"
"1",1,1,-0.484719249131451,-0.588519453842472,-0.692319658553492,-0.796119863264513,-0.899920067975533,-1.00372027268655,-1.10752047739757,-1.21132068210859,-1.31512088681962,-1.41892109153064,-1.52272129624166
"2",1,2,-0.425703091014203,-0.529503295725224,-0.633303500436244,-0.737103705147265,-0.840903909858285,-0.944704114569306,-1.04850431928033,-1.15230452399135,-1.25610472870237,-1.35990493341339,-1.46370513812441
"3",1,3,-0.366686932896955,-0.470487137607975,-0.574287342318996,-0.678087547030016,-0.781887751741037,-0.885687956452057,-0.989488161163078,-1.0932883658741,-1.19708857058512,-1.30088877529614,-1.40468898000716
"4",1,4,-0.307670774779707,-0.411470979490727,-0.515271184201748,-0.619071388912768,-0.722871593623789,-0.826671798334809,-0.93047200304583,-1.03427220775685,-1.13807241246787,-1.24187261717889,-1.34567282188991
"5",1,5,-0.248654616662458,-0.352454821373479,-0.456255026084499,-0.56005523079552,-0.663855435506541,-0.767655640217561,-0.871455844928582,-0.975256049639602,-1.07905625435062,-1.18285645906164,-1.28665666377266
"6",1,6,-0.18963845854521,-0.293438663256231,-0.397238867967251,-0.501039072678272,-0.604839277389292,-0.708639482100313,-0.812439686811333,-0.916239891522354,-1.02004009623337,-1.1238403009444,-1.22764050565542
"7",1,7,-0.130622300427962,-0.234422505138982,-0.338222709850003,-0.442022914561023,-0.545823119272044,-0.649623323983064,-0.753423528694085,-0.857223733405105,-0.961023938116126,-1.06482414282715,-1.16862434753817
"8",1,8,-0.0716061423107135,-0.175406347021734,-0.279206551732755,-0.383006756443775,-0.486806961154796,-0.590607165865816,-0.694407370576837,-0.798207575287857,-0.902007779998878,-1.0058079847099,-1.10960818942092
"9",1,9,-0.0125899841934654,-0.116390188904486,-0.220190393615507,-0.323990598326527,-0.427790803037548,-0.531591007748568,-0.635391212459589,-0.739191417170609,-0.84299162188163,-0.94679182659265,-1.05059203130367
"10",1,10,0.0464261739237829,-0.0573740307872378,-0.161174235498258,-0.264974440209279,-0.368774644920299,-0.47257484963132,-0.57637505434234,-0.680175259053361,-0.783975463764381,-0.887775668475402,-0.991575873186422
"11",1,11,0.105442332041031,0.00164212733001046,-0.10215807738101,-0.20595828209203,-0.309758486803051,-0.413558691514072,-0.517358896225092,-0.621159100936112,-0.724959305647133,-0.828759510358154,-0.932559715069174
"12",1,12,0.164458490158279,0.0606582854472587,-0.0431419192637618,-0.146942123974782,-0.250742328685803,-0.354542533396823,-0.458342738107844,-0.562142942818864,-0.665943147529885,-0.769743352240906,-0.873543556951926
"13",1,13,0.223474648275528,0.119674443564507,0.0158742388534865,-0.087925965857534,-0.191726170568555,-0.295526375279575,-0.399326579990596,-0.503126784701616,-0.606926989412637,-0.710727194123657,-0.814527398834678
"14",1,14,0.282490806392776,0.178690601681755,0.0748903969707346,-0.0289098077402858,-0.132710012451307,-0.236510217162327,-0.340310421873348,-0.444110626584368,-0.547910831295389,-0.651711036006409,-0.755511240717429
"15",1,15,0.341506964510024,0.237706759799003,0.133906555087983,0.0301063503769624,-0.0736938543340583,-0.177494059045079,-0.281294263756099,-0.38509446846712,-0.48889467317814,-0.592694877889161,-0.696495082600181
"16",1,16,0.400523122627272,0.296722917916252,0.192922713205231,0.0891225084942107,-0.01467769621681,-0.11847790092783,-0.222278105638851,-0.326078310349871,-0.429878515060892,-0.533678719771913,-0.637478924482933
"17",1,17,0.459539280744521,0.3557390760335,0.251938871322479,0.148138666611459,0.0443384619004382,-0.0594617428105821,-0.163261947521603,-0.267062152232623,-0.370862356943644,-0.474662561654664,-0.578462766365685
