"","Down","FP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",3,1,-1.06628147160417,-1.17008167631519,-1.27388188102621,-1.37768208573723,-1.48148229044825,-1.58528249515927,-1.68908269987029,-1.79288290458131,-1.89668310929233,-2.00048331400335,-2.10428351871437,-2.20808372342539,-2.31188392813642,-2.41568413284744,-2.51948433755846,-2.62328454226948,-2.7270847469805,-2.83088495169152,-2.93468515640254,-3.03848536111356
"2",3,2,-1.00726531348692,-1.11106551819794,-1.21486572290896,-1.31866592761998,-1.422466132331,-1.52626633704202,-1.63006654175304,-1.73386674646406,-1.83766695117509,-1.94146715588611,-2.04526736059713,-2.14906756530815,-2.25286777001917,-2.35666797473019,-2.46046817944121,-2.56426838415223,-2.66806858886325,-2.77186879357427,-2.87566899828529,-2.97946920299631
"3",3,3,-0.948249155369673,-1.05204936008069,-1.15584956479171,-1.25964976950273,-1.36344997421376,-1.46725017892478,-1.5710503836358,-1.67485058834682,-1.77865079305784,-1.88245099776886,-1.98625120247988,-2.0900514071909,-2.19385161190192,-2.29765181661294,-2.40145202132396,-2.50525222603498,-2.609052430746,-2.71285263545702,-2.81665284016804,-2.92045304487906
"4",3,4,-0.889232997252425,-0.993033201963445,-1.09683340667447,-1.20063361138549,-1.30443381609651,-1.40823402080753,-1.51203422551855,-1.61583443022957,-1.71963463494059,-1.82343483965161,-1.92723504436263,-2.03103524907365,-2.13483545378467,-2.23863565849569,-2.34243586320671,-2.44623606791773,-2.55003627262875,-2.65383647733977,-2.75763668205079,-2.86143688676181
"5",3,5,-0.830216839135177,-0.934017043846197,-1.03781724855722,-1.14161745326824,-1.24541765797926,-1.34921786269028,-1.4530180674013,-1.55681827211232,-1.66061847682334,-1.76441868153436,-1.86821888624538,-1.9720190909564,-2.07581929566742,-2.17961950037844,-2.28341970508946,-2.38721990980048,-2.4910201145115,-2.59482031922253,-2.69862052393355,-2.80242072864457
"6",3,6,-0.771200681017928,-0.875000885728949,-0.978801090439969,-1.08260129515099,-1.18640149986201,-1.29020170457303,-1.39400190928405,-1.49780211399507,-1.60160231870609,-1.70540252341711,-1.80920272812813,-1.91300293283915,-2.01680313755017,-2.1206033422612,-2.22440354697222,-2.32820375168324,-2.43200395639426,-2.53580416110528,-2.6396043658163,-2.74340457052732
"7",3,7,-0.71218452290068,-0.8159847276117,-0.919784932322721,-1.02358513703374,-1.12738534174476,-1.23118554645578,-1.3349857511668,-1.43878595587782,-1.54258616058884,-1.64638636529986,-1.75018657001089,-1.85398677472191,-1.95778697943293,-2.06158718414395,-2.16538738885497,-2.26918759356599,-2.37298779827701,-2.47678800298803,-2.58058820769905,-2.68438841241007
"8",3,8,-0.653168364783432,-0.756968569494452,-0.860768774205473,-0.964568978916494,-1.06836918362751,-1.17216938833853,-1.27596959304956,-1.37976979776058,-1.4835700024716,-1.58737020718262,-1.69117041189364,-1.79497061660466,-1.89877082131568,-2.0025710260267,-2.10637123073772,-2.21017143544874,-2.31397164015976,-2.41777184487078,-2.5215720495818,-2.62537225429282
"9",3,9,-0.594152206666184,-0.697952411377204,-0.801752616088225,-0.905552820799245,-1.00935302551027,-1.11315323022129,-1.21695343493231,-1.32075363964333,-1.42455384435435,-1.52835404906537,-1.63215425377639,-1.73595445848741,-1.83975466319843,-1.94355486790945,-2.04735507262047,-2.15115527733149,-2.25495548204251,-2.35875568675353,-2.46255589146455,-2.56635609617557
"10",3,10,-0.535136048548935,-0.638936253259956,-0.742736457970977,-0.846536662681997,-0.950336867393017,-1.05413707210404,-1.15793727681506,-1.26173748152608,-1.3655376862371,-1.46933789094812,-1.57313809565914,-1.67693830037016,-1.78073850508118,-1.8845387097922,-1.98833891450322,-2.09213911921424,-2.19593932392526,-2.29973952863628,-2.4035397333473,-2.50733993805833
