"","Down","FP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",2,1,-0.308399439168218,-0.412199643879239,-0.515999848590259,-0.61980005330128,-0.7236002580123,-0.827400462723321,-0.931200667434341,-1.03500087214536,-1.13880107685638,-1.2426012815674,-1.34640148627842,-1.45020169098944,-1.55400189570046,-1.65780210041149,-1.76160230512251,-1.86540250983353,-1.96920271454455,-2.07300291925557,-2.17680312396659,-2.28060332867761
"2",2,2,-0.24938328105097,-0.35318348576199,-0.456983690473011,-0.560783895184031,-0.664584099895052,-0.768384304606072,-0.872184509317093,-0.975984714028113,-1.07978491873913,-1.18358512345015,-1.28738532816118,-1.3911855328722,-1.49498573758322,-1.59878594229424,-1.70258614700526,-1.80638635171628,-1.9101865564273,-2.01398676113832,-2.11778696584934,-2.22158717056036
"3",2,3,-0.190367122933722,-0.294167327644742,-0.397967532355763,-0.501767737066783,-0.605567941777804,-0.709368146488824,-0.813168351199845,-0.916968555910865,-1.02076876062189,-1.12456896533291,-1.22836917004393,-1.33216937475495,-1.43596957946597,-1.53976978417699,-1.64356998888801,-1.74737019359903,-1.85117039831005,-1.95497060302107,-2.05877080773209,-2.16257101244311
"4",2,4,-0.131350964816473,-0.235151169527494,-0.338951374238515,-0.442751578949535,-0.546551783660555,-0.650351988371576,-0.754152193082597,-0.857952397793617,-0.961752602504638,-1.06555280721566,-1.16935301192668,-1.2731532166377,-1.37695342134872,-1.48075362605974,-1.58455383077076,-1.68835403548178,-1.7921542401928,-1.89595444490382,-1.99975464961484,-2.10355485432586
"5",2,5,-0.0723348066992252,-0.176135011410246,-0.279935216121266,-0.383735420832287,-0.487535625543307,-0.591335830254328,-0.695136034965348,-0.798936239676369,-0.902736444387389,-1.00653664909841,-1.11033685380943,-1.21413705852045,-1.31793726323147,-1.42173746794249,-1.52553767265351,-1.62933787736453,-1.73313808207555,-1.83693828678657,-1.94073849149759,-2.04453869620861
"6",2,6,-0.0133186485819769,-0.117118853292997,-0.220919058004018,-0.324719262715038,-0.428519467426059,-0.53231967213708,-0.6361198768481,-0.739920081559121,-0.843720286270141,-0.947520490981162,-1.05132069569218,-1.1551209004032,-1.25892110511422,-1.36272130982524,-1.46652151453626,-1.57032171924728,-1.67412192395831,-1.77792212866933,-1.88172233338035,-1.98552253809137
"7",2,7,0.0456975095352713,-0.0581026951757492,-0.16190289988677,-0.26570310459779,-0.369503309308811,-0.473303514019831,-0.577103718730852,-0.680903923441872,-0.784704128152893,-0.888504332863913,-0.992304537574934,-1.09610474228595,-1.19990494699697,-1.303705151708,-1.40750535641902,-1.51130556113004,-1.61510576584106,-1.71890597055208,-1.8227061752631,-1.92650637997412
"8",2,8,0.10471366765252,0.000913462941499021,-0.102886741769522,-0.206686946480542,-0.310487151191563,-0.414287355902583,-0.518087560613604,-0.621887765324624,-0.725687970035645,-0.829488174746665,-0.933288379457686,-1.03708858416871,-1.14088878887973,-1.24468899359075,-1.34848919830177,-1.45228940301279,-1.55608960772381,-1.65988981243483,-1.76369001714585,-1.86749022185687
"9",2,9,0.163729825769768,0.0599296210587472,-0.0438705836522734,-0.147670788363294,-0.251470993074314,-0.355271197785335,-0.459071402496355,-0.562871607207376,-0.666671811918396,-0.770472016629417,-0.874272221340438,-0.978072426051458,-1.08187263076248,-1.1856728354735,-1.28947304018452,-1.39327324489554,-1.49707344960656,-1.60087365431758,-1.7046738590286,-1.80847406373962
"10",2,10,0.222745983887016,0.118945779175995,0.0151455744649749,-0.0886546302460456,-0.192454834957066,-0.296255039668087,-0.400055244379107,-0.503855449090128,-0.607655653801148,-0.711455858512169,-0.815256063223189,-0.91905626793421,-1.02285647264523,-1.12665667735625,-1.23045688206727,-1.33425708677829,-1.43805729148931,-1.54185749620033,-1.64565770091135,-1.74945790562237
"11",2,11,0.281762142004264,0.177961937293244,0.0741617325822231,-0.0296384721287973,-0.133438676839818,-0.237238881550838,-0.341039086261859,-0.444839290972879,-0.5486394956839,-0.65243970039492,-0.756239905105941,-0.860040109816962,-0.963840314527982,-1.067640519239,-1.17144072395002,-1.27524092866104,-1.37904113337206,-1.48284133808308,-1.5866415427941,-1.69044174750513
"12",2,12,0.340778300121513,0.236978095410492,0.133177890699471,0.0293776859884509,-0.0744225187225696,-0.17822272343359,-0.282022928144611,-0.385823132855631,-0.489623337566652,-0.593423542277672,-0.697223746988693,-0.801023951699713,-0.904824156410734,-1.00862436112175,-1.11242456583277,-1.2162247705438,-1.32002497525482,-1.42382517996584,-1.52762538467686,-1.63142558938788
"13",2,13,0.399794458238761,0.29599425352774,0.19219404881672,0.0883938441056992,-0.0154063606053213,-0.119206565316342,-0.223006770027362,-0.326806974738383,-0.430607179449403,-0.534407384160424,-0.638207588871445,-0.742007793582465,-0.845807998293486,-0.949608203004506,-1.05340840771553,-1.15720861242655,-1.26100881713757,-1.36480902184859,-1.46860922655961,-1.57240943127063
"14",2,14,0.458810616356009,0.355010411644988,0.251210206933968,0.147410002222947,0.0436097975119268,-0.0601904071990937,-0.163990611910114,-0.267790816621135,-0.371591021332155,-0.475391226043176,-0.579191430754196,-0.682991635465217,-0.786791840176237,-0.890592044887258,-0.994392249598279,-1.0981924543093,-1.20199265902032,-1.30579286373134,-1.40959306844236,-1.51339327315338
"15",2,15,0.517826774473257,0.414026569762237,0.310226365051216,0.206426160340196,0.102625955629175,-0.00117424908184549,-0.104974453792866,-0.208774658503887,-0.312574863214907,-0.416375067925927,-0.520175272636948,-0.623975477347969,-0.727775682058989,-0.83157588677001,-0.93537609148103,-1.03917629619205,-1.14297650090307,-1.24677670561409,-1.35057691032511,-1.45437711503613
"16",2,16,0.576842932590505,0.473042727879485,0.369242523168464,0.265442318457444,0.161642113746423,0.0578419090354028,-0.0459582956756178,-0.149758500386638,-0.253558705097659,-0.357358909808679,-0.4611591145197,-0.56495931923072,-0.668759523941741,-0.772559728652762,-0.876359933363782,-0.980160138074803,-1.08396034278582,-1.18776054749684,-1.29156075220786,-1.39536095691888
"17",2,17,0.635859090707754,0.532058885996733,0.428258681285713,0.324458476574692,0.220658271863672,0.116858067152651,0.0130578624416304,-0.09074234226939,-0.194542546980411,-0.298342751691431,-0.402142956402452,-0.505943161113472,-0.609743365824493,-0.713543570535513,-0.817343775246534,-0.921143979957554,-1.02494418466857,-1.1287443893796,-1.23254459409062,-1.33634479880164
"18",2,18,0.694875248825002,0.591075044113981,0.487274839402961,0.38347463469194,0.27967442998092,0.175874225269899,0.0720740205588786,-0.0317261841521419,-0.135526388863162,-0.239326593574183,-0.343126798285204,-0.446927002996224,-0.550727207707244,-0.654527412418265,-0.758327617129286,-0.862127821840306,-0.965928026551327,-1.06972823126235,-1.17352843597337,-1.27732864068439
"19",2,19,0.75389140694225,0.65009120223123,0.546290997520209,0.442490792809189,0.338690588098168,0.234890383387148,0.131090178676127,0.0272899739651065,-0.076510230745914,-0.180310435456934,-0.284110640167955,-0.387910844878976,-0.491711049589996,-0.595511254301017,-0.699311459012037,-0.803111663723058,-0.906911868434078,-1.0107120731451,-1.11451227785612,-1.21831248256714
"20",2,20,0.812907565059498,0.709107360348478,0.605307155637457,0.501506950926437,0.397706746215416,0.293906541504396,0.190106336793375,0.0863061320823546,-0.0174940726286659,-0.121294277339686,-0.225094482050707,-0.328894686761728,-0.432694891472748,-0.536495096183769,-0.640295300894789,-0.74409550560581,-0.84789571031683,-0.951695915027851,-1.05549611973887,-1.15929632444989
"21",2,21,0.871923723176747,0.768123518465726,0.664323313754706,0.560523109043685,0.456722904332665,0.352922699621644,0.249122494910623,0.145322290199603,0.0415220854885825,-0.062278119222438,-0.166078323933459,-0.269878528644479,-0.3736787333555,-0.47747893806652,-0.581279142777541,-0.685079347488561,-0.788879552199582,-0.892679756910602,-0.996479961621623,-1.10028016633264
"22",2,22,0.930939881293995,0.827139676582974,0.723339471871954,0.619539267160933,0.515739062449913,0.411938857738892,0.308138653027872,0.204338448316851,0.100538243605831,-0.00326196110518984,-0.107062165816211,-0.210862370527231,-0.314662575238251,-0.418462779949272,-0.522262984660293,-0.626063189371313,-0.729863394082334,-0.833663598793354,-0.937463803504375,-1.04126400821539
"23",2,23,0.989956039411243,0.886155834700222,0.782355629989202,0.678555425278181,0.574755220567161,0.47095501585614,0.36715481114512,0.263354606434099,0.159554401723079,0.0557541970120583,-0.0480460076989624,-0.151846212409983,-0.255646417121003,-0.359446621832024,-0.463246826543044,-0.567047031254065,-0.670847235965085,-0.774647440676106,-0.878447645387126,-0.982247850098147
